[1101/191004:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1101/194325:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1101/195431:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1101/200516:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1101/201546:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1101/202835:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1101/203920:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1101/205031:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1101/210113:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1101/210256:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/004250:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/004743:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/005353:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/005557:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/005809:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/005849:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/104801:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/114626:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/130135:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/141819:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/142033:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/142157:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/142343:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/142448:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/142632:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/143135:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/143231:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/143558:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/143702:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/143953:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/144107:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/144231:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/144316:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/144521:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/144707:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/144858:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/145018:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/145204:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/145318:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/145434:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/145805:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/145939:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/150443:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/151132:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/151419:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/151611:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/151741:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/151914:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/152438:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/152902:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/155236:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/155414:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/160750:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/161027:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/164454:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/170228:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/170655:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/171108:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/171202:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/173505:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/173700:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/181427:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/181601:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/181710:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/181747:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/182139:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/182357:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/182728:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/182842:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/183244:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/183349:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/183522:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/183618:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/183707:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/183752:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/184805:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/184918:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/184942:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/185028:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/185257:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/185755:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/185910:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/190028:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/190146:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/190659:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/190840:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/191611:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/193851:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/201201:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/201430:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/072949:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/073033:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/073059:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/073242:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/073346:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/073412:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/073441:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/073517:ERROR:file_io.cc(30)] read: expected 4, observed 0
